f1,f2,f3,f4,f5,label
0.4621423976619433,0.8771789253481018,0.35220762738303224,0.713079949285531,0.06688024898980005,0
0.8036933597579613,0.4018415497679454,0.04780670776658158,0.15137844144372303,0.25032516167313856,0
0.6905463971205333,0.04628291584025235,0.7075697709131863,0.8392172387434695,0.9646454908169647,1
0.5733306650384995,0.8885008391415464,0.2703215537460061,0.34512206706238713,0.1514586161735183,0
0.9168764872470982,0.22148638402885412,0.44405152320092367,0.7577030949520065,0.6150459935295144,1
0.5747373890005826,0.947814194986189,0.7569647532804213,0.5467070992525344,0.9672847818153985,1
0.45619659101516263,0.5017156305608076,0.9909848662493993,0.6885886520130663,0.3723797568293663,1
0.5110498866523825,0.7268615233077484,0.1741150793003946,0.6999375121380409,0.32868658722018307,0
0.7353920903535903,0.994141377324012,0.4357114701169532,0.7424804930118799,0.34666285682116604,1
0.5971596507259892,0.9065270744151591,0.7066826165636003,0.925792991514854,0.32424516494341726,1
0.3632550302847243,0.19923470457011494,0.05274836504361302,0.4279443228854768,0.7204447544430111,0
0.5157234842237584,0.1262509940418266,0.2334219130741726,0.48455020413892447,0.6088207747130135,0
0.09882565346771466,0.8910310578401129,0.7649541900058935,0.8241116365256967,0.7722407202900943,1
0.34999828708582614,0.29605795484063113,0.5279396145174474,0.24318441887360287,0.13059165675767492,0
0.525987221672515,0.0681816696134494,0.7248856648889304,0.44398556762049846,0.6290322838598978,0
0.6838677820203206,0.19898194689629156,0.22143241994895557,0.410501639191616,0.018597185778658654,0
0.6095434330499017,0.7596717474979416,0.536360146872975,0.9552651599413382,0.9034271374766559,1
0.2290953100143175,0.32276974765288147,0.024192075667459845,0.7405835857716843,0.7056128997325785,0
0.6528504209816102,0.1926186643025486,0.521416508945271,0.11279505218479968,0.8701340176934586,1
0.5365625437129845,0.9477684006392804,0.3830179417401818,0.14394252174682942,0.04780275909174303,0
0.06871968669876061,0.5036364435146551,0.03474869589004825,0.8936858703930524,0.48976685251557706,0
0.22672710923882056,0.7733125674112513,0.5141918265590518,0.16509030753591802,0.16108663968666737,0
0.6872858754139014,0.4602050780435937,0.5078012626923898,0.1611078614955247,0.35764628599165915,1
0.8491544285847872,0.6665083833948179,0.3117381773470401,0.4888003639556081,0.8301730658134963,1
0.5147503988272777,0.04614000870897006,0.8185953035099692,0.9681403702461574,0.5951771176119942,1
0.7956678887102614,0.47400114331153653,0.015208995525811786,0.12028877198287624,0.2207857681877038,0
0.38970963456457053,0.7783721087010593,0.6490841414432587,0.2880643913898897,0.8887604491753306,1
0.1933218248019235,0.2731906300876161,0.9448414127804666,0.17024370686465873,0.5380872200154602,1
0.4063813120425427,0.8557225151797064,0.7666494938584776,0.12808023380218647,0.17677016295239112,1
0.7219076965044368,0.416808792704347,0.18946241529482732,0.4689376017288197,0.039502338148458715,0
0.6415415966015544,0.619633955142618,0.7582562895545973,0.7766339686526258,0.5720809362185701,1
0.33630074456364534,0.7748774965510484,0.21364557336551937,0.6723173841071038,0.5415065324856808,0
0.7555559824529674,0.5519422678087605,0.4758650578333806,0.12738978340704188,0.24168296371832565,1
0.41150003348104847,0.43503684512625884,0.5657675750389828,0.5953188588579978,0.532291733297886,0
0.7431708244267913,0.8951557671587853,0.2400523824266625,0.06467750626151503,0.49126103124007126,1
0.8519811100703154,0.21024272204720984,0.4923330919973189,0.08367031620364285,0.29122268312628574,1
0.09611197122304982,0.7425759011713572,0.5685907676638805,0.7460656597313489,0.045658015819592945,0
0.8558977634546051,0.027526811599050127,0.8498295276642419,0.6927557186056689,0.8205699744190353,1
0.5749444343734447,0.0482335432552391,0.9309244254766131,0.12902635768881188,0.885571333587867,1
0.12283522953414416,0.07514370269928905,0.34399256235071163,0.7050462843723893,0.9865117537001696,0
0.822466807861499,0.3800334116123557,0.37854120653450984,0.13020065149684923,0.9214119228515556,1
0.8057705237989925,0.43691794132241424,0.5725900535154954,0.40924488412128157,0.16949718470037956,1
0.7213883234347405,0.8391501096194814,0.6990281019765074,0.881080159243341,0.4090744421846223,1
0.44809350895089994,0.7223634225013172,0.3837929179792874,0.19089081302989208,0.06554701805694041,0
0.35716175370771186,0.7472338236351077,0.7561634195684338,0.4872047411980217,0.8950424250798166,1
0.7126115348400244,0.4698714164460983,0.9300356222367878,0.38838458213263805,0.5228242975800057,1
0.266010769840063,0.20934658417242458,0.6883569008184992,0.5415553959349846,0.7710075377472623,1
0.41882146582742463,0.37635780556736753,0.3953492028742527,0.8901774857791077,0.22872322263333922,0
